Product,Category,Revenue,Units Sold,Region,Date
T-shirt,Fashion,3500,95,North,2024-01-12
Shampoo,Beauty,5000,120,East,2024-02-02
Jeans,Fashion,6000,75,West,2024-03-15
Notebook,Stationery,2000,300,North,2024-01-22
Pen,Stationery,1500,500,East,2024-02-25
Face Cream,Beauty,4000,110,South,2024-03-01
Book,Stationery,2500,150,West,2024-01-30
Hair Oil,Beauty,3200,85,North,2024-02-17
Socks,Fashion,1800,140,East,2024-03-09
Marker,Stationery,1000,200,South,2024-01-10
Jacket,Fashion,7500,50,West,2024-03-25
Lipstick,Beauty,4200,100,East,2024-01-15
Crayons,Stationery,800,300,North,2024-02-12
Dress,Fashion,5000,80,South,2024-01-27
Lotion,Beauty,4500,95,West,2024-03-05
